name,age,nationality,nba_team,own_year,"ID"
Tom Gores  ,62,American  ,Detroit Pistons  ,2011.0,1
Daniel Gilbert,64,American,Cleveland Cavaliers,,2
Steven Anthony Ballmer,70,American,Los Angeles Clippers,,3
Daniel G. DeVos,67,American,Orlando Magic,1991.0,4
Mark Cuban,68,American,Dallas Mavericks,2000.0,5
Tilman Joseph Fertitta,69,American,Houston Rockets,2017.0,6
Joseph Chung-Hsin Tsai,62,Taiwanese-Canadian,Brooklyn Nets,2019.0,7
Clay Bennett,67,American,Oklahoma City Thunder,2006.0,8
Herbert Simon,92,American,Indiana Pacers,1983.0,9
Jerry Michael Reinsdorf,90,American,Chicago Bulls,1985.0,10
Gayle Marie LaJaunie Bird Benson,79,American,New Orleans Pelicans,2018.0,11
Enos Stanley Kroenke,79,American,Denver Nuggets,,12
Joshua Jordan Harris,62,American,Philadelphia 76ers,2011.0,13
James Lawrence Dolan,71,American,New York Knicks,,14
Micky Arison,77,Israeli-American,Miami Heat,1995.0,15
Joseph Steven Lacob,70,American,Golden State Warriors,2010.0,16
